Phase,Tuning Option,Current Setting,Summary
Phase 06A,SPEC_DB_DIR,.specfactory_tmp (env: SPEC_DB_DIR),[Backend only — no GUI control] Directory where the SQLite spec database (including evidence index FTS5 tables) is stored. Controls where all persistent data lives on disk.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 06B — Refetch Scheduler & Continuous Repair,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 06B,AutomationQueue SQLite Tables,(created automatically in specDb),[Backend only — no GUI control] The AutomationQueue uses SQLite tables with state machine (queued→running→done/failed) and dedupe_key for job deduplication. No tuning controls exist for queue parameters — they are structural.
Phase 06B,Repair Dedupe Rule,1 repair job per (domain + brand/model + field_targets),[Hardcoded — no control] Deduplication rule for repair jobs in the automation queue. Only one repair job is allowed per unique combination of domain + product identity + target fields. Prevents duplicate repair attempts.
Phase 06B,Refresh TTL Window,Not implemented,[NOT IMPLEMENTED] Planned staleness refresh threshold per domain/doc_kind. Would control how old evidence can get before triggering a re-fetch. Currently no TTL policy exists.
Phase 06B,Per-Round Rediscovery Cap,Not implemented,[NOT IMPLEMENTED] Planned cap on how many rediscovery repair jobs can be enqueued per round. Would prevent runaway queue growth. Currently no cap exists.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 07 — Tier Retrieval & Prime Sources,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 07,RETRIEVAL_MAX_HITS_PER_FIELD,24 (env + GUI: Pipeline Settings slider 5-50),[GUI: Pipeline Settings → Retrieval → Max Hits Per Field slider] Maximum evidence hits returned per field from the retrieval engine. Controls how many candidate evidence snippets are considered for each spec field. Higher values provide more evidence for consensus but increase LLM costs.
Phase 07,RETRIEVAL_MAX_PRIME_SOURCES,8 (env + GUI: Pipeline Settings slider 3-20),[GUI: Pipeline Settings → Retrieval → Max Prime Sources slider] Maximum prime sources selected per field for LLM extraction. Controls how many top-ranked sources are passed to the extraction LLM. Higher values give the LLM more context but increase token costs.
Phase 07,RETRIEVAL_IDENTITY_FILTER_ENABLED,true (env + GUI: Pipeline Settings toggle),[GUI: Pipeline Settings → Retrieval → Identity Filter toggle] When enabled the retrieval engine filters out evidence snippets that fail identity gating — snippets that don't match the product's brand/model/variant. Prevents cross-product contamination in evidence.
Phase 07,DEFAULT_TIER_WEIGHTS,Tier1: 3 / Tier2: 2 / Tier3: 1 / Tier4: 0.65 / Tier5: 0.4 (hardcoded in tierAwareRetriever.js),[Hardcoded — no control] Base scoring weights for evidence by tier in the retrieval ranking formula. Tier 1 (manufacturer) sources are weighted 3× higher than Tier 3 (retail) sources. These weights are the foundation of the tier preference system.
Phase 07,DOC_KIND_WEIGHTS,manual_pdf: 1.5 / spec_pdf: 1.4 / support: 1.1 / spec_page: 1.0 / review: 0.95 / article: 0.85 / retail: 0.75 / forum: 0.6 / other: 0.55 (hardcoded),[Hardcoded — no control] Document type scoring weights in retrieval. PDFs (manuals/specs) are weighted highest because they contain the most reliable technical data. Forums and unknown documents get the lowest weights.
Phase 07,METHOD_WEIGHTS (retrieval),table: 1.25 / kv: 1.15 / json_ld: 1.1 / network_json: 1.1 / structured_meta: 1.05 / article: 0.95 / pdf: 0.95 / llm_extract: 0.85 / helper_supportive: 0.65 (hardcoded),"[Hardcoded — no control] Extraction method scoring weights in retrieval. Structured extraction methods (table parsing, key-value parsing) are weighted higher than LLM extraction because they are more deterministic and reliable."
Phase 07,Anchor Score Formula,"min(1.8, matches × 0.42) (hardcoded in tierAwareRetriever.js)",[Hardcoded — no control] Bonus score for evidence that contains field-specific anchor terms. Each anchor match adds 0.42 points up to a cap of 1.8 (so ~4 anchor matches reach the cap). Rewards evidence that uses the exact terminology expected for a field.
Phase 07,Identity Score Formula,"min(1.4, matches × 0.28) (hardcoded in tierAwareRetriever.js)",[Hardcoded — no control] Bonus score for evidence containing product identity tokens (brand/model/variant mentions). Each identity match adds 0.28 up to cap of 1.4 (5 matches reach cap). Rewards evidence that clearly references the correct product.
Phase 07,Unit Match Bonus,0.35 (hardcoded in tierAwareRetriever.js),"[Hardcoded — no control] Bonus when evidence contains the expected unit of measurement for the field (e.g. 'g' for weight, 'mm' for dimensions). Signals that the evidence likely contains a value in the correct unit."
Phase 07,Direct Field Match Bonus,0.65 (hardcoded in tierAwareRetriever.js),[Hardcoded — no control] Bonus when the evidence snippet directly mentions the field name/label. Strongest signal that the evidence is relevant to the target field.
Phase 07,Evidence Score Formula,tierWeight × 2.6 + docWeight × 1.5 + methodWeight × 0.85 + anchor + identity + unit + directField (hardcoded),"[Hardcoded — no control] Master formula combining all retrieval scoring signals. Tier weight is the dominant factor (2.6× multiplier), followed by document kind (1.5×) and extraction method (0.85×). Bonus scores are additive."
Phase 07,Evidence Pool Max Rows,"100-20000 range, default 4000 (hardcoded in tierAwareRetriever.js)",[Hardcoded — no control] Maximum rows in the evidence pool fed to retrieval. Clamped between 100 and 20000 with default 4000. Controls the size of the candidate pool before per-field filtering.
Phase 07,Snippets Per Source Cap,"8-300 range, default 120 (hardcoded in tierAwareRetriever.js)",[Hardcoded — no control] Maximum snippets retained per source URL. Prevents any single source from dominating the evidence pool. Default 120 allows deep coverage from rich sources.
Phase 07,Max Hits Cap Range,"1-80, default 24 (hardcoded in tierAwareRetriever.js)",[Hardcoded — no control] Internal max hits cap range with default 24. Applied when the config-driven RETRIEVAL_MAX_HITS_PER_FIELD is out of bounds.
Phase 07,Evidence Refs Limit,12 (hardcoded in tierAwareRetriever.js),[Hardcoded — no control] Maximum evidence reference IDs attached to each retrieval hit. Limits the cross-reference chain for audit trail purposes.
Phase 07,Reason Badges Limit,8 (hardcoded in tierAwareRetriever.js),[Hardcoded — no control] Maximum reason badges (explanation tags) attached to each retrieval hit for the GUI display.
Phase 07,Retrieval Anchors Limit,6 (hardcoded in tierAwareRetriever.js),[Hardcoded — no control] Maximum anchor terms used in retrieval query construction per field. Limits the query complexity.
Phase 07,Prime Sources Max Range,"1-20, default 8 (hardcoded in primeSourcesBuilder.js)",[Hardcoded — no control] Internal prime source cap range. Bounds-checks the config-driven RETRIEVAL_MAX_PRIME_SOURCES value.
Phase 07,Fallback Evidence Max Rows,"200-20000, default 6000 (hardcoded in primeSourcesBuilder.js)",[Hardcoded — no control] Maximum rows in the fallback evidence pool (used when provenance-based pool is insufficient). Larger than the primary pool to cast a wider net.
Phase 07,Provenance-Only Min Rows,24 (hardcoded in primeSourcesBuilder.js),[Hardcoded — no control] Minimum number of provenance-backed evidence rows before the retriever falls back to the broader evidence pool. If fewer than 24 provenance rows exist the fallback pool is merged in.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 08 — Extraction Context Wiring,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 08,LLM_MODEL_EXTRACT,(env + GUI: Indexing → Extract Role Model dropdown),[GUI: Indexing Runtime → Extract Role Model dropdown] LLM model used for the main spec value extraction. This is the workhorse model — it reads evidence snippets and outputs structured field values. Use a capable model for accuracy; use a fast model for speed.
Phase 08,LLM_MAX_OUTPUT_TOKENS_EXTRACT,1200 (env + GUI: Indexing → Extract Max Tokens dropdown),[GUI: Indexing Runtime → Extract Max Tokens dropdown] Maximum output tokens for extraction LLM calls. Controls how much structured data the LLM can output per extraction batch. 1200 is sufficient for most field batches.
Phase 08,LLM_EXTRACT_MAX_TOKENS,1200 (env: LLM_EXTRACT_MAX_TOKENS),[Backend only — no GUI control] Alternate token limit for extraction. May overlap with LLM_MAX_OUTPUT_TOKENS_EXTRACT depending on which code path is active.
Phase 08,LLM_EXTRACT_MAX_SNIPPETS_PER_BATCH,6 (env: LLM_EXTRACT_MAX_SNIPPETS_PER_BATCH),[Backend only — no GUI control] Maximum evidence snippets sent to the LLM per extraction batch. Controls the context window usage per call. More snippets give the LLM more evidence but increase input token costs. 6 is balanced.
Phase 08,LLM_EXTRACT_MAX_SNIPPET_CHARS,900 (env: LLM_EXTRACT_MAX_SNIPPET_CHARS),[Backend only — no GUI control] Maximum characters per snippet sent to the extraction LLM. Truncates long snippets to keep context window manageable. 900 chars preserves most spec table rows.
Phase 08,LLM_EXTRACT_SKIP_LOW_SIGNAL,true (env: LLM_EXTRACT_SKIP_LOW_SIGNAL),[Backend only — no GUI control] Skip evidence with low relevance signal before sending to LLM extraction. Saves tokens by not sending irrelevant content. When false all evidence is sent regardless of signal quality.
Phase 08,LLM_EXTRACT_REASONING_BUDGET,4096 (env: LLM_EXTRACT_REASONING_BUDGET),[Backend only — no GUI control] Token budget for reasoning/chain-of-thought in extraction LLM calls. Used with reasoning-capable models (DeepSeek Reasoner). Controls how much 'thinking' the model does before outputting values.
Phase 08,LLM_MODEL_VALIDATE,(env: LLM_MODEL_VALIDATE),[Backend only — no GUI control] LLM model for validation passes. Used to cross-check extracted values for accuracy. Can be a different model from extract for diversity.
Phase 08,LLM_MAX_OUTPUT_TOKENS_VALIDATE,1200 (env: LLM_MAX_OUTPUT_TOKENS_VALIDATE),[Backend only — no GUI control] Maximum output tokens for validation LLM calls.
Phase 08,LLM_MODEL_WRITE,(env: LLM_MODEL_WRITE),[Backend only — no GUI control] LLM model for summary writing. Used to generate human-readable product summaries from extracted spec data.
Phase 08,LLM_MAX_OUTPUT_TOKENS_WRITE,1200 (env: LLM_MAX_OUTPUT_TOKENS_WRITE),[Backend only — no GUI control] Maximum output tokens for summary writing LLM calls.
Phase 08,LLM_MODEL_FAST,(env + GUI: Indexing → Fast Pass Model dropdown),[GUI: Indexing Runtime → Fast Pass Model dropdown] Fast/cheap LLM model for low-stakes tasks like simple classification and triage. Should be the cheapest available model.
Phase 08,LLM_MAX_OUTPUT_TOKENS_FAST,(env + GUI: Indexing → Fast Pass Max Tokens dropdown),[GUI: Indexing Runtime → Fast Pass Max Tokens dropdown] Maximum output tokens for fast-pass LLM calls.
Phase 08,LLM_MODEL_REASONING,(env + GUI: Indexing → Reasoning Model dropdown),"[GUI: Indexing Runtime → Reasoning Model dropdown] LLM model for complex reasoning tasks (ambiguity resolution, conflict resolution). Should be the most capable available model."
Phase 08,LLM_MAX_OUTPUT_TOKENS_REASONING,32768 (env + GUI: Indexing → Reasoning Max Tokens dropdown),[GUI: Indexing Runtime → Reasoning Max Tokens dropdown] Maximum output tokens for reasoning LLM calls. Very high (32K) to allow extended chain-of-thought reasoning.
Phase 08,LLM_REASONING_MODE,auto-detected (env: LLM_REASONING_MODE),[Backend only — no GUI control] Enable chain-of-thought reasoning mode. Auto-detected to true if DeepSeek API key is set. Changes LLM prompt format to request explicit reasoning before answers.
Phase 08,LLM_REASONING_BUDGET,32768 (env: LLM_REASONING_BUDGET),[Backend only — no GUI control] General reasoning token budget (not extraction-specific). Controls the maximum reasoning tokens across all reasoning-mode calls.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 08B — Visual Asset Capture,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 08B,VISUAL_ASSET_CAPTURE_ENABLED,true (env: VISUAL_ASSET_CAPTURE_ENABLED),[Backend only — no GUI control] Master switch for visual asset capture (screenshots and images from source pages). When enabled Playwright captures spec table screenshots and product images during fetch. Disabling saves time and disk space but loses visual evidence.
Phase 08B,VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE,5 (env: VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE),[Backend only — no GUI control] Maximum visual assets (screenshots/images) to capture per source URL. Prevents excessive capture from image-heavy pages. 5 captures the most important spec tables and product images.
Phase 08B,VISUAL_ASSET_STORE_ORIGINAL,true (env: VISUAL_ASSET_STORE_ORIGINAL),[Backend only — no GUI control] Persist the original full-resolution image alongside derivatives. Useful for audit trails but increases storage. When false only derivatives (resized/compressed) are kept.
Phase 08B,VISUAL_ASSET_RETENTION_DAYS,30 (env: VISUAL_ASSET_RETENTION_DAYS),[Backend only — no GUI control] Days to retain visual assets before cleanup. After 30 days old assets are eligible for garbage collection.
Phase 08B,VISUAL_ASSET_PHASH_ENABLED,true (env: VISUAL_ASSET_PHASH_ENABLED),[Backend only — no GUI control] Enable perceptual hashing for near-duplicate image detection. When enabled captured images are hashed and compared — near-duplicates are clustered together to avoid redundant storage and processing.
Phase 08B,VISUAL_ASSET_REVIEW_FORMAT,webp (env: VISUAL_ASSET_REVIEW_FORMAT),"[Backend only — no GUI control] Image format for review derivatives. WebP offers good compression with quality. Alternatives: jpeg, png."
Phase 08B,VISUAL_ASSET_REVIEW_LG_MAX_SIDE,1600 (env: VISUAL_ASSET_REVIEW_LG_MAX_SIDE),[Backend only — no GUI control] Maximum dimension (width or height) for the large review derivative. Images are scaled down proportionally to fit within this bound. Used for detailed review in the GUI.
Phase 08B,VISUAL_ASSET_REVIEW_SM_MAX_SIDE,768 (env: VISUAL_ASSET_REVIEW_SM_MAX_SIDE),[Backend only — no GUI control] Maximum dimension for the small/thumbnail review derivative. Used for grid views and previews in the GUI.
Phase 08B,VISUAL_ASSET_REVIEW_LG_QUALITY,75 (env: VISUAL_ASSET_REVIEW_LG_QUALITY),[Backend only — no GUI control] Compression quality (0-100) for the large review derivative. Higher = better quality but larger file size.
Phase 08B,VISUAL_ASSET_REVIEW_SM_QUALITY,65 (env: VISUAL_ASSET_REVIEW_SM_QUALITY),[Backend only — no GUI control] Compression quality for the small review derivative. Lower than LG since thumbnails tolerate more compression.
Phase 08B,VISUAL_ASSET_REGION_CROP_MAX_SIDE,1024 (env: VISUAL_ASSET_REGION_CROP_MAX_SIDE),[Backend only — no GUI control] Maximum dimension for region-cropped derivatives. Region crops isolate specific spec tables or product images from full-page screenshots.
Phase 08B,VISUAL_ASSET_REGION_CROP_QUALITY,70 (env: VISUAL_ASSET_REGION_CROP_QUALITY),[Backend only — no GUI control] Compression quality for region crop derivatives.
Phase 08B,VISUAL_ASSET_LLM_MAX_BYTES,512000 (env: VISUAL_ASSET_LLM_MAX_BYTES),[Backend only — no GUI control] Hard cap in bytes per image sent to the LLM for vision analysis. 500KB prevents excessive token usage from large images. Images exceeding this are further compressed or rejected.
Phase 08B,VISUAL_ASSET_MIN_WIDTH,320 (env: VISUAL_ASSET_MIN_WIDTH),[Backend only — no GUI control] Minimum image width in pixels for the quality gate. Images narrower than 320px are rejected as too small to contain useful spec data.
Phase 08B,VISUAL_ASSET_MIN_HEIGHT,320 (env: VISUAL_ASSET_MIN_HEIGHT),[Backend only — no GUI control] Minimum image height in pixels for the quality gate.
Phase 08B,VISUAL_ASSET_MIN_SHARPNESS,80 (env: VISUAL_ASSET_MIN_SHARPNESS),[Backend only — no GUI control] Minimum sharpness score (Laplacian variance) for the quality gate. Images below this threshold are rejected as too blurry to extract text from. Higher values are stricter.
Phase 08B,VISUAL_ASSET_MIN_ENTROPY,2.5 (env: VISUAL_ASSET_MIN_ENTROPY),[Backend only — no GUI control] Minimum entropy threshold for the quality gate. Rejects blank/solid-color images that contain no useful information. Entropy measures information density.
Phase 08B,VISUAL_ASSET_MAX_PHASH_DISTANCE,10 (env: VISUAL_ASSET_MAX_PHASH_DISTANCE),[Backend only — no GUI control] Maximum perceptual hash distance for near-duplicate clustering. Images with pHash distance <= 10 are considered near-duplicates. Lower values are stricter (fewer duplicates detected).
Phase 08B,VISUAL_ASSET_HERO_SELECTOR_MAP_JSON,(env: VISUAL_ASSET_HERO_SELECTOR_MAP_JSON),[Backend only — no GUI control] Per-domain CSS selector overrides for hero image/region detection as JSON. Allows targeting specific page regions for visual capture on known sites.
Phase 08B,CAPTURE_PAGE_SCREENSHOT_ENABLED,true (env: CAPTURE_PAGE_SCREENSHOT_ENABLED),[Backend only — no GUI control] Enable full-page screenshot capture during fetch. Used for visual evidence and debugging. Different from VISUAL_ASSET_CAPTURE which targets specific elements.
Phase 08B,CAPTURE_PAGE_SCREENSHOT_FORMAT,jpeg (env: CAPTURE_PAGE_SCREENSHOT_FORMAT),[Backend only — no GUI control] Format for full-page screenshots: jpeg or png. JPEG is smaller; PNG is lossless.
Phase 08B,CAPTURE_PAGE_SCREENSHOT_QUALITY,62 (env: CAPTURE_PAGE_SCREENSHOT_QUALITY),[Backend only — no GUI control] JPEG quality for full-page screenshots (0-100). 62 is a good balance of quality and file size.
Phase 08B,CAPTURE_PAGE_SCREENSHOT_MAX_BYTES,2200000 (env: CAPTURE_PAGE_SCREENSHOT_MAX_BYTES),[Backend only — no GUI control] Maximum file size for page screenshots in bytes (~2.2MB). Larger screenshots are rejected to prevent storage bloat.
Phase 08B,CAPTURE_PAGE_SCREENSHOT_SELECTORS,"table,[data-spec-table],.specs-table,.spec-table,.specifications (env)",[Backend only — no GUI control] CSS selectors for targeting spec table elements in screenshots. When a page contains these selectors the screenshot focuses on the spec table area rather than the full page.
Phase 08B,RUNTIME_CAPTURE_SCREENSHOTS,false (env: RUNTIME_CAPTURE_SCREENSHOTS),[Backend only — no GUI control] Master runtime switch for screenshot capture. Different from CAPTURE_PAGE_SCREENSHOT_ENABLED — this controls whether the runtime bridge emits screenshot events.
Phase 08B,RUNTIME_SCREENSHOT_MODE,last_only (env: RUNTIME_SCREENSHOT_MODE),[Backend only — no GUI control] Screenshot mode: 'last_only' keeps only the most recent screenshot per source (saves disk); 'all' keeps every screenshot taken during the run.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 09 — Convergence Loop & Stop Conditions,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 09,CONVERGENCE_MAX_ROUNDS,3 (env + GUI: Pipeline Settings slider 1-12),[GUI: Pipeline Settings → Convergence Loop → Max Rounds slider] Maximum number of convergence rounds before the engine stops. Each round performs a full search→fetch→parse→extract→score cycle. More rounds find more evidence but cost more time and LLM tokens. Default 3 is conservative.
Phase 09,CONVERGENCE_NO_PROGRESS_LIMIT,2 (env + GUI: Pipeline Settings slider 1-6),[GUI: Pipeline Settings → Convergence Loop → No-Progress Streak slider] Number of consecutive rounds with no new evidence before stopping. If 2 rounds in a row yield no new field values the engine gives up. Lower values stop sooner; higher values are more persistent.
Phase 09,CONVERGENCE_MAX_LOW_QUALITY_ROUNDS,1 (env + GUI: Pipeline Settings slider 1-6),[GUI: Pipeline Settings → Convergence Loop → Max Low Quality Rounds slider] Maximum rounds where average confidence remains below the low-quality threshold before stopping. Default 1 means one bad round triggers early stop.
Phase 09,CONVERGENCE_LOW_QUALITY_CONFIDENCE,0.20 (env + GUI: Pipeline Settings slider 0-1),[GUI: Pipeline Settings → Convergence Loop → Low Quality Confidence slider (step 0.05)] Confidence threshold below which a round is considered 'low quality'. If average confidence across all extracted fields is below 0.20 the round is flagged. Combined with MAX_LOW_QUALITY_ROUNDS to trigger early stop.
Phase 09,CONVERGENCE_IDENTITY_FAIL_FAST_ROUNDS,1 (env: CONVERGENCE_IDENTITY_FAIL_FAST_ROUNDS),[Backend only — no GUI control] Number of rounds after which identity failure triggers fast-fail stop. After 1 round if identity gate still fails (can't confirm product identity) the engine stops immediately. Prevents wasting budget extracting specs for the wrong product.
Phase 09,CONVERGENCE_MAX_DISPATCH_QUERIES,20 (env + GUI: Pipeline Settings slider 5-50),[GUI: Pipeline Settings → Convergence Loop → Max Dispatch Queries slider] Maximum search queries dispatched per convergence round. Controls the search budget per round. Higher values cast a wider search net but use more search provider quota.
Phase 09,CONVERGENCE_MAX_TARGET_FIELDS,30 (env + GUI: Pipeline Settings slider 5-80),[GUI: Pipeline Settings → Convergence Loop → Max Target Fields slider] Maximum fields targeted per convergence round. The NeedSet engine selects the top N fields by need score for each round. Higher values attempt more fields per round but dilute focus.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 10 — Learning & Compounding,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 10,Learning Confidence Threshold,0.85 (hardcoded in learningUpdater.js),[Hardcoded — no control] Minimum confidence threshold for accepting a field value into learning stores. Values below 0.85 confidence are not learned — they might be wrong. Higher values are more conservative; lower values learn more aggressively.
Phase 10,Component Lexicon Decay Days,90 (hardcoded in learningStores.js),"[Hardcoded — no control] Half-life in days for component lexicon entries. Learned component names (e.g. sensor models, switch types) lose 50% of their weight every 90 days. Ensures the learning system adapts as product lines change."
Phase 10,Component Lexicon Expire Days,180 (hardcoded in learningStores.js),[Hardcoded — no control] Expiration in days for component lexicon entries. After 180 days unused component names are purged entirely from the learning store.
Phase 10,Field Anchors Decay Days,60 (hardcoded in learningStores.js),[Hardcoded — no control] Half-life in days for learned field anchor phrases. Anchor terms (phrases that reliably indicate a field value nearby) decay with 60-day half-life. Shorter than component lexicon because language patterns change faster.
Phase 10,URL Memory Decay Days,120 (hardcoded in learningStores.js),[Hardcoded — no control] Half-life in days for URL memory entries. Learned canonical URLs and their quality assessments decay over 120 days. Balances remembering good sources with adapting to site changes.
Phase 10,HELPER_FILES_ENABLED,true (env: HELPER_FILES_ENABLED),[Backend only — no GUI control] Master switch for helper file system (pre-existing knowledge base). When enabled the system loads known values and field hints from helper files to bootstrap extraction.
Phase 10,HELPER_FILES_ROOT,helper_files (env: HELPER_FILES_ROOT),"[Backend only — no GUI control] Root directory for helper files. Contains per-category knowledge bases with known values, field rules, and extraction hints."
Phase 10,HELPER_SUPPORTIVE_ENABLED,true (env: HELPER_SUPPORTIVE_ENABLED),[Backend only — no GUI control] Enable supportive helper mode where helper files provide seed evidence. Helpers act as low-confidence Tier 4 sources that can be confirmed or overridden by web evidence.
Phase 10,HELPER_SUPPORTIVE_FILL_MISSING,true (env: HELPER_SUPPORTIVE_FILL_MISSING),[Backend only — no GUI control] Allow helpers to fill in missing field values when no web evidence exists. Acts as a last resort to provide values for hard-to-find fields.
Phase 10,HELPER_SUPPORTIVE_MAX_SOURCES,6 (env: HELPER_SUPPORTIVE_MAX_SOURCES),[Backend only — no GUI control] Maximum helper-derived sources considered per field. Limits the influence of pre-existing knowledge vs. fresh web evidence.
Phase 10,HELPER_AUTO_SEED_TARGETS,true (env: HELPER_AUTO_SEED_TARGETS),[Backend only — no GUI control] Automatically use helper files to seed target URLs for known product pages. Provides starting URLs for products where the manufacturer page is already known.
Phase 10,FIELD_REWARD_HALF_LIFE_DAYS,45 (env: FIELD_REWARD_HALF_LIFE_DAYS),[Backend only — no GUI control] Half-life in days for field reward decay. The bandit batch strategy uses reward scores to prioritize field extraction order. Older rewards decay to adapt to changing extraction difficulty.
Phase 10,BATCH_STRATEGY,bandit (env: BATCH_STRATEGY),[Backend only — no GUI control] Strategy for ordering field extraction batches. 'bandit' uses multi-armed bandit with reward decay to prioritize fields most likely to yield values. Alternative strategies may exist but bandit is the default.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 11 — Worker Lanes & Runtime Control,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 11,WORKERS_SEARCH,Not implemented (planned env: WORKERS_SEARCH),[NOT IMPLEMENTED] Planned concurrent worker count for the search lane. Would control how many parallel search queries execute simultaneously. Currently search runs inline.
Phase 11,WORKERS_FETCH,Not implemented (planned env: WORKERS_FETCH),[NOT IMPLEMENTED] Planned concurrent worker count for the fetch lane. Would control parallel page downloads. Currently controlled by CONCURRENCY knob.
Phase 11,WORKERS_PARSE,Not implemented (planned env: WORKERS_PARSE),[NOT IMPLEMENTED] Planned concurrent worker count for the parse lane. Would control parallel HTML/PDF parsing. Currently parsing runs inline after fetch.
Phase 11,WORKERS_LLM,Not implemented (planned env: WORKERS_LLM),[NOT IMPLEMENTED] Planned concurrent worker count for the LLM lane. Would control parallel LLM extraction calls. Currently limited by LLM_MAX_CALLS_PER_ROUND.
Phase 11,WORKER_HEALTH_CHECK_INTERVAL_MS,Not implemented,[NOT IMPLEMENTED] Planned health check frequency for worker processes. Would monitor and restart unhealthy workers.
Phase 11,WORKER_RESTART_BACKOFF_MS,Not implemented,[NOT IMPLEMENTED] Planned backoff before restarting a failed worker. Would prevent tight restart loops.
Phase 11,429_BLOCK_RATE_THRESHOLD,Not implemented,[NOT IMPLEMENTED] Planned threshold for maximum 429/blocked response rate before load shedding. Would automatically reduce concurrency when too many rate limits are hit.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 12 — Multi-Product Batch Automation,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 12,MAX_BATCH_SIZE_CONFIRMATION,200 (planned),[NOT IMPLEMENTED] Planned threshold above which batch runs require user confirmation. Prevents accidentally queuing hundreds of products.
Phase 12,MAX_PARALLEL_PRODUCT_WORKERS,Not implemented,[NOT IMPLEMENTED] Planned maximum concurrent product runs in batch mode. Would balance throughput vs. system resource usage.
Phase 12,MAX_RUN_SECONDS_PER_PRODUCT,300 (env: MAX_RUN_SECONDS),[Backend only — no GUI control] Maximum runtime in seconds per individual product run. After 300 seconds (5 minutes) the run is terminated. Prevents runaway runs from blocking the queue.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# CONSENSUS SCORING ENGINE,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Consensus,CONSENSUS_LLM_WEIGHT_TIER1,0.60 (env + GUI: Pipeline Settings slider 0.3-0.9),[GUI: Pipeline Settings → Consensus → LLM Tier 1 slider] Weight applied to LLM-extracted values from Tier 1 (manufacturer) sources in consensus scoring. 0.60 means LLM extractions from manufacturer pages contribute 60% of their raw weight. Higher values trust LLM extraction more; lower values rely more on deterministic extraction.
Consensus,CONSENSUS_LLM_WEIGHT_TIER2,0.40 (env + GUI: Pipeline Settings slider 0.2-0.7),[GUI: Pipeline Settings → Consensus → LLM Tier 2 slider] Weight for LLM-extracted values from Tier 2 (lab review) sources. Lower than Tier 1 because lab reviews may describe test results rather than official specs.
Consensus,CONSENSUS_LLM_WEIGHT_TIER3,0.20 (env + GUI: Pipeline Settings slider 0.1-0.4),[GUI: Pipeline Settings → Consensus → LLM Tier 3 slider] Weight for LLM-extracted values from Tier 3 (retail) sources. Retail listings often have inaccurate specs so LLM extractions are downweighted.
Consensus,CONSENSUS_LLM_WEIGHT_TIER4,0.15 (env + GUI: Pipeline Settings slider 0.05-0.3),[GUI: Pipeline Settings → Consensus → LLM Tier 4 slider] Weight for LLM-extracted values from Tier 4 (unverified) sources. Lowest weight — LLM values from unknown sources are treated with maximum skepticism.
Consensus,CONSENSUS_TIER1_WEIGHT,1.00 (env + GUI: Pipeline Settings slider 0.8-1.0),[GUI: Pipeline Settings → Consensus → Tier 1 Weight slider] Overall weight multiplier for all evidence from Tier 1 sources in consensus voting. 1.00 means full weight. Manufacturer data is treated as ground truth.
Consensus,CONSENSUS_TIER2_WEIGHT,0.80 (env + GUI: Pipeline Settings slider 0.5-0.9),[GUI: Pipeline Settings → Consensus → Tier 2 Weight slider] Overall weight for Tier 2 evidence. Lab reviews get 80% weight relative to manufacturer sources.
Consensus,CONSENSUS_TIER3_WEIGHT,0.45 (env + GUI: Pipeline Settings slider 0.2-0.6),[GUI: Pipeline Settings → Consensus → Tier 3 Weight slider] Overall weight for Tier 3 evidence. Retail listings get 45% weight — less than half the weight of manufacturer data.
Consensus,CONSENSUS_TIER4_WEIGHT,0.25 (env + GUI: Pipeline Settings slider 0.1-0.4),[GUI: Pipeline Settings → Consensus → Tier 4 Weight slider] Overall weight for Tier 4 evidence. Unverified sources get 25% weight — heavily downweighted but still contribute to consensus.
Consensus,METHOD_WEIGHT — network_json,1.0 (hardcoded in consensusEngine.js),[Hardcoded — no control] Consensus weight for values extracted via network JSON interception. Highest weight because network JSON is structured data directly from the site's API — most reliable extraction method.
Consensus,METHOD_WEIGHT — adapter_api,0.95 (hardcoded in consensusEngine.js),[Hardcoded — no control] Consensus weight for values from adapter APIs (structured importers like Supabase/manufacturer APIs). Nearly as reliable as network JSON.
Consensus,METHOD_WEIGHT — structured_meta,0.90 (hardcoded in consensusEngine.js),"[Hardcoded — no control] Consensus weight for structured metadata extraction (JSON-LD, microdata, OpenGraph). Highly reliable for supported schemas."
